username,review,rating,date,cleaned_review
Brian Muwanguzi,when i open the app it shows mtn pulse instead of the my mtn screen😢,1,2025-12-31 14:06:14,when i open the app it shows mtn pulse instead of the my mtn screen
Abbey bagon,Extra ordinary,5,2025-12-31 13:26:40,extra ordinary
Favour Akullu,the apps is not responding and it's saying unable to establish secure connection. that I should try it later. what could be done,2,2025-12-30 19:38:28,the apps is not responding and its saying unable to establish secure connection that i should try it later what could be done
AGUMA ERIC DANIEL,not opening,1,2025-12-30 17:54:48,not opening
Nassozi Gladea,whenever I try connecting the app it says switch off wifi or connect with MTN data yet data is available.......maybe it it doesn't suit my Nokia phone... MTN...please kindly address this issue,1,2025-12-30 13:02:28,whenever i try connecting the app it says switch off wifi or connect with mtn data yet data is availablemaybe it it doesnt suit my nokia phone mtnplease kindly address this issue
Kiriisa Innocent,cant open on my phone,1,2025-12-30 12:24:34,cant open on my phone
Namitala Viola,doesn't work on sumsang,1,2025-12-29 21:30:20,doesnt work on sumsang
Isaac Azan,no star app does not even open🤕,1,2025-12-29 19:30:28,no star app does not even open
Aine Miriam Nancy,it can't open,2,2025-12-29 18:40:34,it cant open
Nambuya Gorret,not allowing me to open the app with mobile data,3,2025-12-29 15:21:22,not allowing me to open the app with mobile data
Twiikirize Apophia,"eeeh mtn let's be serious for once u can't open this app without data, I bought my data and app doesn't recognize it and doesn't open",1,2025-12-29 12:06:16,eeeh mtn lets be serious for once u cant open this app without data i bought my data and app doesnt recognize it and doesnt open
IAN TENDO,"It keeps telling me to switch from Wifi yet I'm using MTN, what a huge failure in the App by",1,2025-12-29 09:04:14,it keeps telling me to switch from wifi yet im using mtn what a huge failure in the app by
Nayebare Innocent,this app continues to bring invalid mobile network even when am using MTN data bundle. what would be the issue.,1,2025-12-29 08:06:24,this app continues to bring invalid mobile network even when am using mtn data bundle what would be the issue
Brianah Kibirige,this app is slow,3,2025-12-28 20:54:48,this app is slow
JOTHAM TECHNOLOGY,No need ov mastering codes 2 purchase bundles,5,2025-12-28 20:04:25,no need ov mastering codes purchase bundles
LIVINGSTONE MUHANIKA,MTN is the best mobile Service Company World wide,5,2025-12-28 11:18:46,mtn is the best mobile service company world wide
ondua brizzy,"very good network service, and it's to do any transactions at a very good rate, and u get connected even if u are abroad. u remain connected with ur family members. Even if u are not in uganda, and u can also do school fees payment using the application and are very efficient, u can even get school fees loans from the application ,u can even have over draft if u hv less amount of money in ur account and be paid back u get float so due to all said above the application is the number one app in ug",5,2025-12-28 11:16:49,very good network service and its to do any transactions at a very good rate and u get connected even if u are abroad u remain connected with ur family members even if u are not in uganda and u can also do school fees payment using the application and are very efficient u can even get school fees loans from the application u can even have over draft if u hv less amount of money in ur account and be paid back u get float so due to all said above the application is the number one app in ug
Olupot Fenekas,very easy to use and interesting.,5,2025-12-28 10:52:06,very easy to use and interesting
Wayne Ntale,Worst MTN app ever used. It's trash,1,2025-12-28 10:10:19,worst mtn app ever used its trash
Garang Deng Liel,MTN is very useful to me so I would like to thank and encourage MTN management to expanded their operation to rural areas,5,2025-12-28 09:19:02,mtn is very useful to me so i would like to thank and encourage mtn management to expanded their operation to rural areas
Stella Brighton,"but why tell me to turn off wifi and use cellular data when actually its the one am using,am very much confused and pissed off",1,2025-12-28 08:04:06,but why tell me to turn off wifi and use cellular data when actually its the one am usingam very much confused and pissed off
Asiimwe Mugisa,ive been using MTN since it started and am still using it and my friends and family,5,2025-12-27 17:40:09,ive been using mtn since it started and am still using it and my friends and family
Muwonge Joel,"very useless app, i use mtn data but is ever telling me to turn off the wifi 😠",1,2025-12-27 10:53:16,very useless app i use mtn data but is ever telling me to turn off the wifi
Daniel Pounds,"this app is wow, it has amazing buttons, colors, and the ui. Thanks, MTN",5,2025-12-27 10:31:17,this app is wow it has amazing buttons colors and the ui thanks mtn
Okiria Michael,"l love the app very much, it's easy to use and it gives me what l ask it to",5,2025-12-27 08:01:51,l love the app very much its easy to use and it gives me what l ask it to
Victor Isiko,the app is fair,2,2025-12-26 21:24:15,the app is fair
Brenda Kusiima abooki,refusing to open,1,2025-12-26 19:27:45,refusing to open
Rayan Giggs,can't be used on my Samsung A12,2,2025-12-26 13:19:53,cant be used on my samsung a
Tumuhimbise Joseline,fast and cheap to use,5,2025-12-26 12:37:12,fast and cheap to use
Namyalo Beat,you lied that I can get a free Christmas bundle which u didn't give me,2,2025-12-25 12:42:27,you lied that i can get a free christmas bundle which u didnt give me
Ogweta James,the app failed to work. It reads close your WiFi settings and use myn data so I still need more light on its usage,2,2025-12-25 11:58:24,the app failed to work it reads close your wifi settings and use myn data so i still need more light on its usage
Kanyesigye Amon,you're app is not specialized it collides with mtn pulse when I open it then sort☹️☹️☹️,1,2025-12-25 10:01:50,youre app is not specialized it collides with mtn pulse when i open it then sort
KASUMBA David,I have not yet received my mbs,2,2025-12-24 16:22:38,i have not yet received my mbs
Tayebwa Alishia,it's so fake 🤥,1,2025-12-22 18:12:07,its so fake
anthony odeke,very useless app because it also requires data for you to use it,2,2025-12-22 05:05:28,very useless app because it also requires data for you to use it
Kisembo Julius,it fails to open most times,1,2025-12-21 22:54:27,it fails to open most times
Abonyo Racheal,"Despite google says there is the possibility to pay fees and government taxes, the reality is NO, there isn't. Besides, they don't allow to use wi-fi, only MTN data. App of garbage.",1,2025-12-21 16:28:23,despite google says there is the possibility to pay fees and government taxes the reality is no there isnt besides they dont allow to use wifi only mtn data app of garbage
SSENDAWULA KENNETH,it's good and faster,5,2025-12-21 14:13:51,its good and faster
Godi John,"This app can't work in my Nokia 2.4 android phone even after downloading and installing it several times. it always shows to switch off Wi-Fi and turn on Mtn data. I don't know whether this situation can be fixed by the app developer. l rather have zero rating of the app at the moment, very useless",1,2025-12-19 20:27:45,this app cant work in my nokia android phone even after downloading and installing it several times it always shows to switch off wifi and turn on mtn data i dont know whether this situation can be fixed by the app developer l rather have zero rating of the app at the moment very useless
janefrancis mirembe,I didn't download mtnpulse why is it not showing my mtn app features,2,2025-12-18 13:44:28,i didnt download mtnpulse why is it not showing my mtn app features
Ferdinand Smith,"this is my best app for sending money, buying data, and airtime",5,2025-12-18 08:11:21,this is my best app for sending money buying data and airtime
Paul Musoke,"for sone reason, it just fails to open sometimes...even when data is on",1,2025-12-18 05:35:31,for sone reason it just fails to open sometimeseven when data is on
rusengye brian,it's very useful and good to use,5,2025-12-17 20:05:25,its very useful and good to use
Wyclife Nkamwesiga,"why is it that everytime I open it, I end up in mtn pulse",1,2025-12-17 12:52:30,why is it that everytime i open it i end up in mtn pulse
Kabugho Harriet,I can't give it any star because it doesn't work on my phone. samsung. it says turn off WiFi even when am not using it,1,2025-12-17 05:34:03,i cant give it any star because it doesnt work on my phone samsung it says turn off wifi even when am not using it
Nyaika Joshua,"this app is not opening, it's asking me to turn off my wifi and use mtn data yet I don't have any WiFi connection",1,2025-12-16 21:27:17,this app is not opening its asking me to turn off my wifi and use mtn data yet i dont have any wifi connection
Drake John,Don't know but it's refusing to work on my device please I need your help I prefer using it. It says that switch off wifi connection and use network yet there is no wifi,1,2025-12-16 18:54:23,dont know but its refusing to work on my device please i need your help i prefer using it it says that switch off wifi connection and use network yet there is no wifi
Mariam Mukiibi,the app doesn't open at all it keeps saying remove network from WiFi yet I'm using mtn data,1,2025-12-16 16:32:20,the app doesnt open at all it keeps saying remove network from wifi yet im using mtn data
Mallane Marjorine,can I get any free data or bundles,5,2025-12-16 11:59:00,can i get any free data or bundles
Jesse scott,why has it refused to work on my phone,1,2025-12-16 08:20:10,why has it refused to work on my phone
Tonny Alex Omara,it's failing to work,3,2025-12-15 19:58:30,its failing to work
Chleria,The MTN guys should change the settings or whatever coz not everyone can actually or uses mobile data like me am ever used to wifi so now please change that stuff,1,2025-12-15 19:50:11,the mtn guys should change the settings or whatever coz not everyone can actually or uses mobile data like me am ever used to wifi so now please change that stuff
Semwogerere Sula,So far so good,5,2025-12-15 18:35:14,so far so good
umudozi AM,not working at all,1,2025-12-15 15:56:31,not working at all
Drajoru Mary,i love my mtn app,5,2025-12-15 11:47:11,i love my mtn app
Betty Nakabuye,the app is gud,5,2025-12-14 23:14:36,the app is gud
Ibrahim Mwanje,I got my 500 mb thanks mtn,4,2025-12-14 18:47:44,i got my mb thanks mtn
James Ebuu,I found this app so good I more than 200 friends,5,2025-12-14 17:12:20,i found this app so good i more than friends
M. Kennedy,why is it that it keeps on telling me that I have to turn off wifi yet it is off whenever I try opening it?,1,2025-12-14 10:39:17,why is it that it keeps on telling me that i have to turn off wifi yet it is off whenever i try opening it
Mohamed Hamza,the Sudanese server not working probably,1,2025-12-14 05:14:08,the sudanese server not working probably
Kevin,It is fake..the app can't literally open.. I would rate 0/10,1,2025-12-13 22:01:30,it is fakethe app cant literally open i would rate
Iremera Fredrick,not activating,5,2025-12-13 20:19:29,not activating
MUTHENDE OWEN,it shows content for MTN pulse....I don't know why.,2,2025-12-13 20:15:37,it shows content for mtn pulsei dont know why
Acen Sarah,after downloading the app wasn't given free. mbs liars,1,2025-12-13 15:55:58,after downloading the app wasnt given free mbs liars
James Amugoli,it doesn't work actually I have tried several times but it can't,1,2025-12-13 14:16:28,it doesnt work actually i have tried several times but it cant
jasim Trevor,nice network,5,2025-12-12 12:28:38,nice network
Nantume Sophie,it doesn't allow me to install and I put my data it says you have no data 0 star,1,2025-12-11 22:32:48,it doesnt allow me to install and i put my data it says you have no data star
Akim Francis,I downloaded MyMTN App then opening it it brings MTN pulse. If i wanted MTN pulse would i waste time to download MyMTN app?,1,2025-12-11 21:22:16,i downloaded mymtn app then opening it it brings mtn pulse if i wanted mtn pulse would i waste time to download mymtn app
TUMUHAISE BENON,the app fails to open saying turn off WiFi and use mobile data yet its what am using,5,2025-12-11 19:45:22,the app fails to open saying turn off wifi and use mobile data yet its what am using
Ivan Happy,"The app has refused to set up, I am using oppo a3s. It only tells you that turn off your WiFi and use mobile internet, yet it's the one I am using already. please fix that.",1,2025-12-11 17:50:04,the app has refused to set up i am using oppo as it only tells you that turn off your wifi and use mobile internet yet its the one i am using already please fix that
Muhammad Mustafa,"Please, I bought data worth 1040 via prestige and it's no where to be seen. that's a great scam",1,2025-12-11 16:50:33,please i bought data worth via prestige and its no where to be seen thats a great scam
Kabiito Ismail,fast payments,5,2025-12-11 13:15:49,fast payments
ROYAL ENTERPRISES INTERNATIONAL LIMITED,awesome user interface,4,2025-12-11 12:10:54,awesome user interface
Chrispas Noel,absolute trash don't fall for it guys,1,2025-12-10 21:39:27,absolute trash dont fall for it guys
Nantambi Aida,refused to open,1,2025-12-09 16:05:54,refused to open
Agnes Namuwenge,Good to use but some small issues to b worked upon,2,2025-12-09 11:38:56,good to use but some small issues to b worked upon
Ahebwa Collins,"MTN app went to Dark theme and got spoilt.. It can't show all Balances like data, Airtime, points and others. it went to intention of only buying Bundles...",2,2025-12-09 11:32:02,mtn app went to dark theme and got spoilt it cant show all balances like data airtime points and others it went to intention of only buying bundles
Amalo James,it is not even responding you have to first set it for me now now,5,2025-12-09 00:59:58,it is not even responding you have to first set it for me now now
Kantono Zahara,this app is very good,1,2025-12-08 23:10:38,this app is very good
Prince Daglous,"This application is turned into MTN pulse and it's not purchasing anything like a Data bundle or something else, therefore please make it clear!",1,2025-12-08 21:42:39,this application is turned into mtn pulse and its not purchasing anything like a data bundle or something else therefore please make it clear
Chelsea Odongo,"every time I try to open it , it says "" unable to connect to server"" even when I have data , like what's wrong with it !!!",1,2025-12-08 13:00:58,every time i try to open it it says unable to connect to server even when i have data like whats wrong with it
Agaba Christopher,"am using mtn data but your telling me turn off wifi, what wrong with the app",1,2025-12-08 11:06:37,am using mtn data but your telling me turn off wifi what wrong with the app
Mercy Kisakyamukama,I want rest my pin becoz I forgot my pin please I don't remember my pin,1,2025-12-08 04:56:02,i want rest my pin becoz i forgot my pin please i dont remember my pin
Josh Masha,it keeps showing connection is not good yet I have a lot of data and network,1,2025-12-07 17:30:31,it keeps showing connection is not good yet i have a lot of data and network
Olive Kasujja,"when your data is over and you try to get more data from the app, it suddenly has connection issues. so then you have to get data via USSDcode to use the app which is stupid honestly",1,2025-12-07 16:51:45,when your data is over and you try to get more data from the app it suddenly has connection issues so then you have to get data via ussdcode to use the app which is stupid honestly
BADDA ALEX,terrible bad it keeps on saying use mtn data and doesn't open,1,2025-12-07 15:00:29,terrible bad it keeps on saying use mtn data and doesnt open
Gaston Byamukama,it's great app thanks,5,2025-12-07 10:11:19,its great app thanks
Ashabahebwa Primah,why are you telling me that I am unable to connect to the server yet I even have my data?,1,2025-12-06 23:08:58,why are you telling me that i am unable to connect to the server yet i even have my data
Musoke Nuhu,"y can't I use this app whenever I open it it says turn off your WiFi and use mtn mobile data yet I don't even have WiFi, I use mtn mobile data",1,2025-12-06 20:43:14,y cant i use this app whenever i open it it says turn off your wifi and use mtn mobile data yet i dont even have wifi i use mtn mobile data
Kirangwa Robert,mymtn app doesn't open on my phone yet I would like to use it.I have tried several times.,5,2025-12-06 20:28:24,mymtn app doesnt open on my phone yet i would like to use iti have tried several times
Rubangakene Jerome,"So I dont know what we Samsung users have done to MTN but this app is fake ,it keeps saying unable to connect try again later like whats up",1,2025-12-06 17:47:08,so i dont know what we samsung users have done to mtn but this app is fake it keeps saying unable to connect try again later like whats up
Ndawula Kizza,Good all time,5,2025-12-06 10:00:13,good all time
SSENDIJJA PETER,Some good but improve on the offers on the app there's no difference with the SSD code,4,2025-12-06 07:37:28,some good but improve on the offers on the app theres no difference with the ssd code
Musema Robert,"I only gave that star because I don't want to be called selfish. This app just wasted my data downloading it for nothing and instead of occupying space on my phone, I just erased it🥴",1,2025-12-05 20:55:29,i only gave that star because i dont want to be called selfish this app just wasted my data downloading it for nothing and instead of occupying space on my phone i just erased it
Charlie Grace,this app is very good MTN is such a very nice network,5,2025-12-05 19:18:52,this app is very good mtn is such a very nice network
Kalio Hakeem,my number one,5,2025-12-05 18:53:46,my number one
Maiso Jonathan,"this app is worse ,it deserves zero star",1,2025-12-05 17:34:15,this app is worse it deserves zero star
Drileba God,it fantastic interms of bonus,5,2025-12-05 14:51:18,it fantastic interms of bonus
OSCAR TAREMWA,"Tried logging into the app for two months now from my Redmi 12, unfortunately all it says is ""Invalid Mobile Network. Yello. Please turn off your WiFi connection and use MTN mobile internet to access your account"" Yet I'm clearly using mobile data and using the MTN line",1,2025-12-05 01:49:02,tried logging into the app for two months now from my redmi unfortunately all it says is invalid mobile network yello please turn off your wifi connection and use mtn mobile internet to access your account yet im clearly using mobile data and using the mtn line
Japhet Graham,I can't activate mymbs option,1,2025-12-04 17:06:18,i cant activate mymbs option
birungi kasfah,It has failed to work on my Samsung phone always telling me to switch off wifi but still can't open,1,2025-12-04 14:27:49,it has failed to work on my samsung phone always telling me to switch off wifi but still cant open
Faman FouStar Fabulous,please your MTN prestige bundle is taking my money and I don't get Data in return. that is when I buy directly from Momo,2,2025-12-03 21:41:46,please your mtn prestige bundle is taking my money and i dont get data in return that is when i buy directly from momo
kiiza Winnie,why does it keep telling me to turn off wifi and use data yet I'm using data,1,2025-12-03 19:02:11,why does it keep telling me to turn off wifi and use data yet im using data
Phyllis Mpumwire,How does this App work? keeps saying I turn off WiFi when there's no WiFi connection,1,2025-12-03 18:53:09,how does this app work keeps saying i turn off wifi when theres no wifi connection
Adrian Tegule,Lowest quality app ever. And from an African tech giant what a shame,1,2025-12-03 08:44:07,lowest quality app ever and from an african tech giant what a shame
MR BEAST,This app has stop working,1,2025-12-02 13:32:11,this app has stop working
Brian Bumba,"The app has failed to work on my phone. it says unauthorized to use this app"" can't understand why. I have installed and un-installed it a number of times but all the same.",1,2025-12-01 18:41:54,the app has failed to work on my phone it says unauthorized to use this app cant understand why i have installed and uninstalled it a number of times but all the same
Tamale Joseph,the app doesn't work on my redmi15c it says turn off WiFi and use MTN yet it's MTN data on. rectify that pilz,1,2025-11-30 12:02:41,the app doesnt work on my redmic it says turn off wifi and use mtn yet its mtn data on rectify that pilz
shakur,I am trying to open the app but it keeps telling me to use mobile network and to remove wifi,1,2025-11-30 11:46:33,i am trying to open the app but it keeps telling me to use mobile network and to remove wifi
Devine Kalar,I can't even open the app. it keeps telling me turn off your wifi and use mtn network yet it's the one am using,1,2025-11-30 07:37:57,i cant even open the app it keeps telling me turn off your wifi and use mtn network yet its the one am using
agatha abeja,The most useless app.. doesn't work at all,1,2025-11-30 02:30:35,the most useless app doesnt work at all
Cossy namz,it refused to work😭😭😭,1,2025-11-29 16:56:28,it refused to work
Isaac Obia,"There's more perks to using the app than not having it, so in some way, that outweighs the inefficiencies in its functioning. I would have easily given it a five star review. Maybe someday",3,2025-11-28 22:04:36,theres more perks to using the app than not having it so in some way that outweighs the inefficiencies in its functioning i would have easily given it a five star review maybe someday
Ian Ivan,I prefer this😍🤩🤗 Thanks MTN,5,2025-11-27 12:04:06,i prefer this thanks mtn
Mukasa Emma,let me give it 4 per now,4,2025-11-27 11:40:02,let me give it per now
Mwesigwa Jeremiah,"08/06/2025. I actually thought this app would help, but after downloading it using MTN data and trying to open it, it says, ""Turn off WiFi and use MTN Internet"" yet I was clearly using MTN Internet. I have read other reviews, and apparently, the app doesn't work on Samsung devices. MTN, please solve this issue. zero stars if possible. Edit 26/11/2025, they fixed the issue, it now works on Samsung and even offline",5,2025-11-26 15:34:05,i actually thought this app would help but after downloading it using mtn data and trying to open it it says turn off wifi and use mtn internet yet i was clearly using mtn internet i have read other reviews and apparently the app doesnt work on samsung devices mtn please solve this issue zero stars if possible edit they fixed the issue it now works on samsung and even offline
Shadrack Cartel,It's the best app ever if we could get this on all internet apps I love it ❤️,5,2025-11-25 23:23:33,its the best app ever if we could get this on all internet apps i love it
Jotham,This app z Amazing,2,2025-11-25 20:04:38,this app z amazing
Musa Moses,Worse for me,5,2025-11-25 19:25:33,worse for me
Ssentamu Oliine,free data for people to use,5,2025-11-25 18:23:40,free data for people to use
Hassan Maulana,thanks good and wonderful,5,2025-11-25 18:00:44,thanks good and wonderful
Munguci Albert,My mtn is not working,5,2025-11-25 17:34:46,my mtn is not working
Masereka Hezekiah,reliable service,5,2025-11-25 17:29:56,reliable service
Oriku Patrick,good for use,5,2025-11-25 15:23:10,good for use
Matthew Weps,fast and secure,4,2025-11-25 13:36:59,fast and secure
Alum judith,I have completely failed to login. the app keeps telling me to use mtn internet to access my account yet it's what I have been using.,1,2025-11-24 16:21:38,i have completely failed to login the app keeps telling me to use mtn internet to access my account yet its what i have been using
Sylvester Kisembo,restricted to data why,1,2025-11-24 09:58:16,restricted to data why
Blair Pius,it's really nice. but I don't know why it shows as pulse😏,5,2025-11-23 14:16:20,its really nice but i dont know why it shows as pulse
Nambooze Jamila,Why can't I use this app while I'm on wifi,1,2025-11-23 00:04:04,why cant i use this app while im on wifi
Jayden Jaiho,love the data but increase,5,2025-11-22 21:52:09,love the data but increase
Avinash,I thought this app was free .my dear it needs Data to be used . nze neno app twaukanye nga mabina,1,2025-11-22 19:16:05,i thought this app was free my dear it needs data to be used nze neno app twaukanye nga mabina
Book Me,The app is fake keeps saying turn off wifi even when WiFi is disabled. Don't waste time,1,2025-11-22 17:09:23,the app is fake keeps saying turn off wifi even when wifi is disabled dont waste time
Ogwang Brian,good 👍 looks ggggggggggggggluck for good job done,5,2025-11-22 14:32:36,good looks ggggggggggggggluck for good job done
Grace Leah,this app gives a hard time,1,2025-11-22 12:00:24,this app gives a hard time
BOIC TONIC,not giving more data bundles,5,2025-11-21 07:09:12,not giving more data bundles
Mwesigwa Mark,"it's exciting with the best offers, my MTN thank you",5,2025-11-20 19:58:20,its exciting with the best offers my mtn thank you
Asiku Geofrey Jeff,"Unable to connect to server 😞, all the time",1,2025-11-20 19:20:49,unable to connect to server all the time
Ebyongu Albert,This app is not opening or accessing me in,1,2025-11-20 18:58:38,this app is not opening or accessing me in
Bogs Paul,it doesn't work. I'm just wasting my time and data.,1,2025-11-20 18:30:17,it doesnt work im just wasting my time and data
Javan Zibiah,very fake app something it really disappoint,1,2025-11-20 17:14:50,very fake app something it really disappoint
Dricile Stanley (Nadra),very excited,5,2025-11-20 16:59:02,very excited
Kajoba Allan,check your network,3,2025-11-20 14:36:10,check your network
Felix,This app was really good at first but at the moment when you open it it takes you to mtn pulse instead It's really a freak 🤕🤧,1,2025-11-20 13:26:02,this app was really good at first but at the moment when you open it it takes you to mtn pulse instead its really a freak
Omongot Tom,its bueatiful app,5,2025-11-19 18:27:53,its bueatiful app
Kabagabu Unice,thank u my mtn,5,2025-11-19 14:13:08,thank u my mtn
AROMORACH HARRIET,doesn't work!!!,1,2025-11-19 07:38:17,doesnt work
Steven Kazibwe,very good apk,5,2025-11-18 14:27:33,very good apk
UWAMUNGU GISUBIZO Jules,koyanze gukara muri phone yanga,1,2025-11-18 11:50:14,koyanze gukara muri phone yanga
Byamx Tulinx,it is not accessing in my phone,2,2025-11-17 18:05:38,it is not accessing in my phone
Philip Pope,very slow and consuming more data,1,2025-11-17 16:56:51,very slow and consuming more data
SANFRANCISCO SHARIF,the app keeps on loading since I downloaded it no use by now if possible 0zero star,1,2025-11-17 15:36:30,the app keeps on loading since i downloaded it no use by now if possible zero star
Kalemire Elton,"while opening it it keeps on telling me that failed to reach server,and more so it only opens when it wants i don't know what could be the problem",1,2025-11-17 15:19:30,while opening it it keeps on telling me that failed to reach serverand more so it only opens when it wants i dont know what could be the problem
Mirembe Rashida,its not cool,5,2025-11-17 11:17:58,its not cool
Jon Bosco,very much good for the un certain scummers of whom sends us direct messages so I just open the mymtn app for insuerity,4,2025-11-17 07:31:38,very much good for the un certain scummers of whom sends us direct messages so i just open the mymtn app for insuerity
Okwalinga Daniel,🙋🙋🙋👊🏿👊 the king of the jungle 👈👈👈,5,2025-11-16 17:21:48,the king of the jungle
Patricia Natasha,it's good but doesn't go on without data,5,2025-11-16 15:40:37,its good but doesnt go on without data
Tyrant Da atopian,I like data and minutes,5,2025-11-15 22:11:02,i like data and minutes
Alum,this app is fast and secure,1,2025-11-15 18:26:57,this app is fast and secure
Michael Enasu,nice and lovely app,5,2025-11-15 17:39:02,nice and lovely app
Lwande Godfrey,simple and faster,3,2025-11-15 17:17:29,simple and faster
Ocen Andrew,can not log in,2,2025-11-15 16:53:43,can not log in
Prossy Bukirwa,its fantastic,5,2025-11-15 10:36:48,its fantastic
Samuel Matovu (Mats Blair),it's 2025 still this app can't be used over WiFi😟,1,2025-11-15 07:46:01,its still this app cant be used over wifi
Mike Mixon,The app is desturbing !!!! some times not well connected to the server,1,2025-11-14 13:06:50,the app is desturbing some times not well connected to the server
Kizito Ali (Saava),This app is totally useless coz whenever i try to open it can't do anything at all. Just loading their adds. It's wastage of data to download. Pliz you guys try to bring back the old version but not this new version which is meant for displaying add only it's more than worse 😭😭😭😭😭,1,2025-11-14 07:24:45,this app is totally useless coz whenever i try to open it cant do anything at all just loading their adds its wastage of data to download pliz you guys try to bring back the old version but not this new version which is meant for displaying add only its more than worse
Moses Mugisho,fresh and clean 👌🏿,5,2025-11-13 21:59:19,fresh and clean
Turyagumizamu Milton,helpful and it is better to use quickly,5,2025-11-13 10:12:39,helpful and it is better to use quickly
RAMZAY ZODIAC,very good app add more free data on my account,5,2025-11-12 21:14:16,very good app add more free data on my account
Berchel Safou,On à besoin des cartes bancaires virtuels maintenant.,3,2026-04-23 12:58:24,on besoin des cartes bancaires virtuels maintenant
Meglove Diass,cette application est une fraude,1,2026-03-06 12:20:52,cette application est une fraude
STYVE BWIRABUBUYA,"L'application My MTN me donne une notification d'erreur seulement lors de l'installation, a chaque fois que je lance l'installation, elle me demande de se connecter au réseau Wifi quand bien même j'utilise les données mobiles.",1,2026-02-28 21:26:21,lapplication my mtn me donne une notification derreur seulement lors de linstallation a chaque fois que je lance linstallation elle me demande de se connecter au rseau wifi quand bien mme jutilise les donnes mobiles
Michael ouissyka,super app je l'utilise tous les jours,5,2026-02-24 21:07:09,super app je lutilise tous les jours
Delphin Ayikpe,L'application ne marche pas après l'installation,1,2026-02-22 00:17:00,lapplication ne marche pas aprs linstallation
jean nkodia,j'aime beaucoup cette application,2,2026-02-04 13:17:31,jaime beaucoup cette application
Christ Mandoko,meilleurs dans le congo,5,2026-01-31 22:07:28,meilleurs dans le congo
Aldrich Loemba,Parfait 100% cool je valide j'aime beaucoup cette application,5,2026-01-28 14:57:17,parfait cool je valide jaime beaucoup cette application
Josué MBAMBI,"l'appli ne fonctionne même pas. A peine télécharger, on te demande de télécharger encore une nouvelle version, en cliquant sur télécharger, ça te ramène sur play store et là bas play store écrit élément introuvable. Je ne sais si c'est un bug mais ça fait 4 jours que j'essaie et ça ne passe pas 🤦🏾‍♂️🙇🏾‍♂️",1,2025-12-28 21:29:57,lappli ne fonctionne mme pas a peine tlcharger on te demande de tlcharger encore une nouvelle version en cliquant sur tlcharger a te ramne sur play store et l bas play store crit lment introuvable je ne sais si cest un bug mais a fait jours que jessaie et a ne passe pas
THYNO DESTIN MABOUNDOU,je suis déçu trop des problèmes de connexion Internet pourquoi comme ça svp faites des efforts,5,2025-12-14 16:13:19,je suis du trop des problmes de connexion internet pourquoi comme a svp faites des efforts
Dheon,"médiocrité absolue, je n' ai pas accès à l'application.",1,2025-12-12 14:05:54,mdiocrit absolue je n ai pas accs lapplication
Henri Joel MISSIE MBANI,"très médiocre l'application ne s'installe plus, je ne vous donne même pas une petite étoile, rien ne marche.",1,2025-12-09 22:29:11,trs mdiocre lapplication ne sinstalle plus je ne vous donne mme pas une petite toile rien ne marche
Julien AGAN,"Cette application et même celle du net ou sur pc ne fonctionne pas correctement. Sur le pc j'ai le même montant et la même connexion qui 'e changent jamais malgré les recharges et les mises à jour ou actualisation, c'est vraiment dommage pour un si grand réseau soit disant. L'application télécharger choisit peut être avec quel portable marcher. On tourne en rond sans succès, je ne sais pas comment cela a réussi pour ceux qui en disent du bien! l'application doit trier certainement les endroits.",1,2025-12-03 10:54:12,cette application et mme celle du net ou sur pc ne fonctionne pas correctement sur le pc jai le mme montant et la mme connexion qui e changent jamais malgr les recharges et les mises jour ou actualisation cest vraiment dommage pour un si grand rseau soit disant lapplication tlcharger choisit peut tre avec quel portable marcher on tourne en rond sans succs je ne sais pas comment cela a russi pour ceux qui en disent du bien lapplication doit trier certainement les endroits
Samy Makita,"c'est vraiment regrettable, l'application pour fonctionner, demande une mise à jour. Mais le lien pour télécharger la mise à jour ne fonctionne pas. Alors comment utiliser l'applis !!",1,2025-11-27 15:52:56,cest vraiment regrettable lapplication pour fonctionner demande une mise jour mais le lien pour tlcharger la mise jour ne fonctionne pas alors comment utiliser lapplis
Ismaël Ikagna,4 étoile c'est super,4,2025-11-17 20:44:53,toile cest super
Bahenda Wague,Merci pour votre disponibilité Merci encore,5,2025-11-08 22:14:31,merci pour votre disponibilit merci encore
Alman Assé,un peu nulle,2,2025-11-07 15:18:47,un peu nulle
Malucodi,j n sais pas qu'est ce qui s passe mais cela n s'installe pas sur mon phone. mais quand j'essaie avec celles d'autres pays c'est carré 😔😔😔,1,2025-10-14 19:43:27,j n sais pas quest ce qui s passe mais cela n sinstalle pas sur mon phone mais quand jessaie avec celles dautres pays cest carr
Emmanuelle Kengue,ou es là nouvelle version,1,2025-10-12 17:50:02,ou es l nouvelle version
Prince Japhet,ne fonctione pas,4,2025-10-12 16:21:28,ne fonctione pas
Merdel NIMI,"Une application que je viens d'installer mais qui me demande encore les mises à jour, et tu rentres c'est sans suite...",1,2025-10-12 07:29:04,une application que je viens dinstaller mais qui me demande encore les mises jour et tu rentres cest sans suite
Gyl'b Yembe,trop nul. ça ne marche même pas,1,2025-10-07 20:28:19,trop nul a ne marche mme pas
Kadie Konaté,je que tout les applications 'installe,5,2025-10-05 05:22:07,je que tout les applications installe
