username,review,rating,date
Mariam Mukiibi,the app doesn't open at all it keeps saying remove network from WiFi yet I'm using mtn data,1,2025-12-16 16:32:20
Mallane Marjorine,can I get any free data or bundles,5,2025-12-16 11:59:00
Jesse scott,why has it refused to work on my phone,1,2025-12-16 08:20:10
Tonny Alex Omara,it's failing to work,3,2025-12-15 19:58:30
Chleria,The MTN guys should change the settings or whatever coz not everyone can actually or uses mobile data like me am ever used to wifi so now please change that stuff,1,2025-12-15 19:50:11
Semwogerere Sula,So far so good,5,2025-12-15 18:35:14
umudozi AM,not working at all,1,2025-12-15 15:56:31
Drajoru Mary,i love my mtn app,5,2025-12-15 11:47:11
Rake Gm Albert,Batulimba,5,2025-12-15 10:17:56
Bwambale Ronald,good 👍,5,2025-12-15 02:29:05
Betty Nakabuye,the app is gud,5,2025-12-14 23:14:36
Ibrahim Mwanje,I got my 500 mb thanks mtn,4,2025-12-14 18:47:44
James Ebuu,I found this app so good I more than 200 friends,5,2025-12-14 17:12:20
Nabaasa Brian,I like it,3,2025-12-14 11:29:29
M. Kennedy,why is it that it keeps on telling me that I have to turn off wifi yet it is off whenever I try opening it?,1,2025-12-14 10:39:17
Mohamed Hamza,the Sudanese server not working probably,1,2025-12-14 05:14:08
Kevin,It is fake..the app can't literally open.. I would rate 0/10,1,2025-12-13 22:01:30
Iremera Fredrick,not activating,5,2025-12-13 20:19:29
MUTHENDE OWEN,it shows content for MTN pulse....I don't know why.,2,2025-12-13 20:15:37
Brian 12 Mpumwire,yeah,5,2025-12-13 18:42:23
Acen Sarah,after downloading the app wasn't given free. mbs liars,1,2025-12-13 15:55:58
James Amugoli,it doesn't work actually I have tried several times but it can't,1,2025-12-13 14:16:28
jasim Trevor,nice network,5,2025-12-12 12:28:38
Nantume Sophie,it doesn't allow me to install and I put my data it says you have no data 0 star,1,2025-12-11 22:32:48
Akim Francis,I downloaded MyMTN App then opening it it brings MTN pulse. If i wanted MTN pulse would i waste time to download MyMTN app?,1,2025-12-11 21:22:16
TUMUHAISE BENON,the app fails to open saying turn off WiFi and use mobile data yet its what am using,5,2025-12-11 19:45:22
Ivan Happy,"The app has refused to set up, I am using oppo a3s. It only tells you that turn off your WiFi and use mobile internet, yet it's the one I am using already. please fix that.",1,2025-12-11 17:50:04
Muhammad Mustafa,"Please, I bought data worth 1040 via prestige and it's no where to be seen. that's a great scam",1,2025-12-11 16:50:33
Kabiito Ismail,fast payments,5,2025-12-11 13:15:49
Day Dax,𝑮𝒐𝒐𝒅,1,2025-12-11 13:08:16
ROYAL ENTERPRISES INTERNATIONAL LIMITED,awesome user interface,4,2025-12-11 12:10:54
Chrispas Noel,absolute trash don't fall for it guys,1,2025-12-10 21:39:27
Sallongo Elly,It's good,5,2025-12-10 13:04:34
Godwin Rutatina,Ecstatic,5,2025-12-09 18:00:29
Nantambi Aida,refused to open,1,2025-12-09 16:05:54
Agnes Namuwenge,Good to use but some small issues to b worked upon,2,2025-12-09 11:38:56
Ahebwa Collins,"MTN app went to Dark theme and got spoilt.. It can't show all Balances like data, Airtime, points and others. it went to intention of only buying Bundles...",2,2025-12-09 11:32:02
Amalo James,it is not even responding you have to first set it for me now now,5,2025-12-09 00:59:58
Kantono Zahara,this app is very good,1,2025-12-08 23:10:38
Prince Daglous,"This application is turned into MTN pulse and it's not purchasing anything like a Data bundle or something else, therefore please make it clear!",1,2025-12-08 21:42:39
Chelsea Odongo,"every time I try to open it , it says "" unable to connect to server"" even when I have data , like what's wrong with it !!!",1,2025-12-08 13:00:58
Agaba Christopher,"am using mtn data but your telling me turn off wifi, what wrong with the app",1,2025-12-08 11:06:37
Mercy Kisakyamukama,I want rest my pin becoz I forgot my pin please I don't remember my pin,1,2025-12-08 04:56:02
Josh Masha,it keeps showing connection is not good yet I have a lot of data and network,1,2025-12-07 17:30:31
Olive Kasujja,"when your data is over and you try to get more data from the app, it suddenly has connection issues. so then you have to get data via USSDcode to use the app which is stupid honestly",1,2025-12-07 16:51:45
BADDA ALEX,terrible bad it keeps on saying use mtn data and doesn't open,1,2025-12-07 15:00:29
Gaston Byamukama,it's great app thanks,5,2025-12-07 10:11:19
Ashabahebwa Primah,why are you telling me that I am unable to connect to the server yet I even have my data?,1,2025-12-06 23:08:58
Turyamusiima Owen,not useful,1,2025-12-06 22:37:05
Lukessie,Gud,5,2025-12-06 22:26:07
Musoke Nuhu,"y can't I use this app whenever I open it it says turn off your WiFi and use mtn mobile data yet I don't even have WiFi, I use mtn mobile data",1,2025-12-06 20:43:14
Kirangwa Robert,mymtn app doesn't open on my phone yet I would like to use it.I have tried several times.,5,2025-12-06 20:28:24
Rubangakene Jerome,"So I dont know what we Samsung users have done to MTN but this app is fake ,it keeps saying unable to connect try again later like whats up",1,2025-12-06 17:47:08
Orlando Chris,helpful,5,2025-12-06 16:37:41
Daniel Ochom,the best,5,2025-12-06 11:24:43
Ndawula Kizza,Good all time,5,2025-12-06 10:00:13
SSENDIJJA PETER,Some good but improve on the offers on the app there's no difference with the SSD code,4,2025-12-06 07:37:28
Musema Robert,"I only gave that star because I don't want to be called selfish. This app just wasted my data downloading it for nothing and instead of occupying space on my phone, I just erased it🥴",1,2025-12-05 20:55:29
Charlie Grace,this app is very good MTN is such a very nice network,5,2025-12-05 19:18:52
Kalio Hakeem,my number one,5,2025-12-05 18:53:46
Maiso Jonathan,"this app is worse ,it deserves zero star",1,2025-12-05 17:34:15
Drileba God,it fantastic interms of bonus,5,2025-12-05 14:51:18
OSCAR TAREMWA,"Tried logging into the app for two months now from my Redmi 12, unfortunately all it says is ""Invalid Mobile Network. Yello. Please turn off your WiFi connection and use MTN mobile internet to access your account"" Yet I'm clearly using mobile data and using the MTN line",1,2025-12-05 01:49:02
Japhet Graham,I can't activate mymbs option,1,2025-12-04 17:06:18
birungi kasfah,It has failed to work on my Samsung phone always telling me to switch off wifi but still can't open,1,2025-12-04 14:27:49
Faman FouStar Fabulous,please your MTN prestige bundle is taking my money and I don't get Data in return. that is when I buy directly from Momo,2,2025-12-03 21:41:46
kiiza Winnie,why does it keep telling me to turn off wifi and use data yet I'm using data,1,2025-12-03 19:02:11
Phyllis Mpumwire,How does this App work? keeps saying I turn off WiFi when there's no WiFi connection,1,2025-12-03 18:53:09
Adrian Tegule,Lowest quality app ever. And from an African tech giant what a shame,1,2025-12-03 08:44:07
MR BEAST,This app has stop working,1,2025-12-02 13:32:11
Brian Bumba,"The app has failed to work on my phone. it says unauthorized to use this app"" can't understand why. I have installed and un-installed it a number of times but all the same.",1,2025-12-01 18:41:54
Iradukunda Fabrice,Amahoro,5,2025-12-01 12:43:30
Tamale Joseph,the app doesn't work on my redmi15c it says turn off WiFi and use MTN yet it's MTN data on. rectify that pilz,1,2025-11-30 12:02:41
shakur,I am trying to open the app but it keeps telling me to use mobile network and to remove wifi,1,2025-11-30 11:46:33
Devine Kalar,I can't even open the app. it keeps telling me turn off your wifi and use mtn network yet it's the one am using,1,2025-11-30 07:37:57
agatha abeja,The most useless app.. doesn't work at all,1,2025-11-30 02:30:35
Cossy namz,it refused to work😭😭😭,1,2025-11-29 16:56:28
Isaac Obia,"There's more perks to using the app than not having it, so in some way, that outweighs the inefficiencies in its functioning. I would have easily given it a five star review. Maybe someday",3,2025-11-28 22:04:36
Niyonzima Gerald,Nice app,5,2025-11-28 12:46:57
Ian Ivan,I prefer this😍🤩🤗 Thanks MTN,5,2025-11-27 12:04:06
Mukasa Emma,let me give it 4 per now,4,2025-11-27 11:40:02
Mwesigwa Jeremiah,"08/06/2025. I actually thought this app would help, but after downloading it using MTN data and trying to open it, it says, ""Turn off WiFi and use MTN Internet"" yet I was clearly using MTN Internet. I have read other reviews, and apparently, the app doesn't work on Samsung devices. MTN, please solve this issue. zero stars if possible. Edit 26/11/2025, they fixed the issue, it now works on Samsung and even offline",5,2025-11-26 15:34:05
Shadrack Cartel,It's the best app ever if we could get this on all internet apps I love it ❤️,5,2025-11-25 23:23:33
Jotham,This app z Amazing,2,2025-11-25 20:04:38
Odama Brian,excellent,5,2025-11-25 19:50:16
Samuel Lwana,bold,5,2025-11-25 19:38:55
Musa Moses,Worse for me,5,2025-11-25 19:25:33
Ssentamu Oliine,free data for people to use,5,2025-11-25 18:23:40
Hassan Maulana,thanks good and wonderful,5,2025-11-25 18:00:44
Munguci Albert,My mtn is not working,5,2025-11-25 17:34:46
Masereka Hezekiah,reliable service,5,2025-11-25 17:29:56
Oriku Patrick,good for use,5,2025-11-25 15:23:10
Matthew Weps,fast and secure,4,2025-11-25 13:36:59
Alum judith,I have completely failed to login. the app keeps telling me to use mtn internet to access my account yet it's what I have been using.,1,2025-11-24 16:21:38
Sylvester Kisembo,restricted to data why,1,2025-11-24 09:58:16
Blair Pius,it's really nice. but I don't know why it shows as pulse😏,5,2025-11-23 14:16:20
Nambooze Jamila,Why can't I use this app while I'm on wifi,1,2025-11-23 00:04:04
Jayden Jaiho,love the data but increase,5,2025-11-22 21:52:09
Avinash,I thought this app was free .my dear it needs Data to be used . nze neno app twaukanye nga mabina,1,2025-11-22 19:16:05
Book Me,The app is fake keeps saying turn off wifi even when WiFi is disabled. Don't waste time,1,2025-11-22 17:09:23
Ogwang Brian,good 👍 looks ggggggggggggggluck for good job done,5,2025-11-22 14:32:36
Grace Leah,this app gives a hard time,1,2025-11-22 12:00:24
BOIC TONIC,not giving more data bundles,5,2025-11-21 07:09:12
Mwesigwa Mark,"it's exciting with the best offers, my MTN thank you",5,2025-11-20 19:58:20
Asiku Geofrey Jeff,"Unable to connect to server 😞, all the time",1,2025-11-20 19:20:49
Ebyongu Albert,This app is not opening or accessing me in,1,2025-11-20 18:58:38
Bogs Paul,it doesn't work. I'm just wasting my time and data.,1,2025-11-20 18:30:17
Javan Zibiah,very fake app something it really disappoint,1,2025-11-20 17:14:50
Dricile Stanley (Nadra),very excited,5,2025-11-20 16:59:02
Kajoba Allan,check your network,3,2025-11-20 14:36:10
Felix,This app was really good at first but at the moment when you open it it takes you to mtn pulse instead It's really a freak 🤕🤧,1,2025-11-20 13:26:02
Omongot Tom,its bueatiful app,5,2025-11-19 18:27:53
Kabagabu Unice,thank u my mtn,5,2025-11-19 14:13:08
AROMORACH HARRIET,doesn't work!!!,1,2025-11-19 07:38:17
Steven Kazibwe,very good apk,5,2025-11-18 14:27:33
UWAMUNGU GISUBIZO Jules,koyanze gukara muri phone yanga,1,2025-11-18 11:50:14
Lenia Annet,enjoyable,5,2025-11-18 09:40:41
wiz rob ug,useful,5,2025-11-18 03:20:27
Byamx Tulinx,it is not accessing in my phone,2,2025-11-17 18:05:38
Philip Pope,very slow and consuming more data,1,2025-11-17 16:56:51
SANFRANCISCO SHARIF,the app keeps on loading since I downloaded it no use by now if possible 0zero star,1,2025-11-17 15:36:30
Kalemire Elton,"while opening it it keeps on telling me that failed to reach server,and more so it only opens when it wants i don't know what could be the problem",1,2025-11-17 15:19:30
Mirembe Rashida,its not cool,5,2025-11-17 11:17:58
Jon Bosco,very much good for the un certain scummers of whom sends us direct messages so I just open the mymtn app for insuerity,4,2025-11-17 07:31:38
Mugalu Darius,Good work,1,2025-11-16 19:18:24
Okwalinga Daniel,🙋🙋🙋👊🏿👊 the king of the jungle 👈👈👈,5,2025-11-16 17:21:48
Patricia Natasha,it's good but doesn't go on without data,5,2025-11-16 15:40:37
Ataki Fred,it good 👍,5,2025-11-16 15:21:51
Tyrant Da atopian,I like data and minutes,5,2025-11-15 22:11:02
Alum,this app is fast and secure,1,2025-11-15 18:26:57
Michael Enasu,nice and lovely app,5,2025-11-15 17:39:02
Lwande Godfrey,simple and faster,3,2025-11-15 17:17:29
Ocen Andrew,can not log in,2,2025-11-15 16:53:43
Prossy Bukirwa,its fantastic,5,2025-11-15 10:36:48
Samuel Matovu (Mats Blair),it's 2025 still this app can't be used over WiFi😟,1,2025-11-15 07:46:01
Mike Mixon,The app is desturbing !!!! some times not well connected to the server,1,2025-11-14 13:06:50
Kizito Ali (Saava),This app is totally useless coz whenever i try to open it can't do anything at all. Just loading their adds. It's wastage of data to download. Pliz you guys try to bring back the old version but not this new version which is meant for displaying add only it's more than worse 😭😭😭😭😭,1,2025-11-14 07:24:45
Moses Mugisho,fresh and clean 👌🏿,5,2025-11-13 21:59:19
Turyagumizamu Milton,helpful and it is better to use quickly,5,2025-11-13 10:12:39
RAMZAY ZODIAC,very good app add more free data on my account,5,2025-11-12 21:14:16
Berchel Safou,On à besoin des cartes bancaires virtuels maintenant.,3,2026-04-23 12:58:24
Max Mantsouaka,bof,2,2026-04-22 13:19:33
Meglove Diass,cette application est une fraude,1,2026-03-06 12:20:52
STYVE BWIRABUBUYA,"L'application My MTN me donne une notification d'erreur seulement lors de l'installation, a chaque fois que je lance l'installation, elle me demande de se connecter au réseau Wifi quand bien même j'utilise les données mobiles.",1,2026-02-28 21:26:21
Michael ouissyka,super app je l'utilise tous les jours,5,2026-02-24 21:07:09
Delphin Ayikpe,L'application ne marche pas après l'installation,1,2026-02-22 00:17:00
jean nkodia,j'aime beaucoup cette application,2,2026-02-04 13:17:31
Christ Mandoko,meilleurs dans le congo,5,2026-01-31 22:07:28
Aldrich Loemba,Parfait 100% cool je valide j'aime beaucoup cette application,5,2026-01-28 14:57:17
MaxTopo Hountangni,Bon,5,2026-01-24 22:34:41
Tonguino Jean Robert,Super cool,5,2026-01-10 00:15:11
Josué MBAMBI,"l'appli ne fonctionne même pas. A peine télécharger, on te demande de télécharger encore une nouvelle version, en cliquant sur télécharger, ça te ramène sur play store et là bas play store écrit élément introuvable. Je ne sais si c'est un bug mais ça fait 4 jours que j'essaie et ça ne passe pas 🤦🏾‍♂️🙇🏾‍♂️",1,2025-12-28 21:29:57
THYNO DESTIN MABOUNDOU,je suis déçu trop des problèmes de connexion Internet pourquoi comme ça svp faites des efforts,5,2025-12-14 16:13:19
Dheon,"médiocrité absolue, je n' ai pas accès à l'application.",1,2025-12-12 14:05:54
Henri Joel MISSIE MBANI,"très médiocre l'application ne s'installe plus, je ne vous donne même pas une petite étoile, rien ne marche.",1,2025-12-09 22:29:11
Julien AGAN,"Cette application et même celle du net ou sur pc ne fonctionne pas correctement. Sur le pc j'ai le même montant et la même connexion qui 'e changent jamais malgré les recharges et les mises à jour ou actualisation, c'est vraiment dommage pour un si grand réseau soit disant. L'application télécharger choisit peut être avec quel portable marcher. On tourne en rond sans succès, je ne sais pas comment cela a réussi pour ceux qui en disent du bien! l'application doit trier certainement les endroits.",1,2025-12-03 10:54:12
Samy Makita,"c'est vraiment regrettable, l'application pour fonctionner, demande une mise à jour. Mais le lien pour télécharger la mise à jour ne fonctionne pas. Alors comment utiliser l'applis !!",1,2025-11-27 15:52:56
Ismaël Ikagna,4 étoile c'est super,4,2025-11-17 20:44:53
jeffry bill mbila,satisfait,5,2025-11-15 01:47:37
Bahenda Wague,Merci pour votre disponibilité Merci encore,5,2025-11-08 22:14:31
Alman Assé,un peu nulle,2,2025-11-07 15:18:47
Kim Kimfoko,génial,5,2025-10-21 23:26:13
Malucodi,j n sais pas qu'est ce qui s passe mais cela n s'installe pas sur mon phone. mais quand j'essaie avec celles d'autres pays c'est carré 😔😔😔,1,2025-10-14 19:43:27
Emmanuelle Kengue,ou es là nouvelle version,1,2025-10-12 17:50:02
Prince Japhet,ne fonctione pas,4,2025-10-12 16:21:28
Merdel NIMI,"Une application que je viens d'installer mais qui me demande encore les mises à jour, et tu rentres c'est sans suite...",1,2025-10-12 07:29:04
Gyl'b Yembe,trop nul. ça ne marche même pas,1,2025-10-07 20:28:19
Kadie Konaté,je que tout les applications 'installe,5,2025-10-05 05:22:07
Stopira Dzila,"Bonsoir MY MTN. j'ai toujours aimé cette application par-contre j'essaie de faire un mis à jour, sur mon téléphone ça marche pas. s'il vous plaît aide moi, mon appareil est un TECHNO POP 7",2,2025-10-04 01:55:49
Brade Elion,l'App du bonheur,5,2025-09-25 07:35:30
Prophete Ngollo Itoba,Pourquoi c'est inacceptable,5,2025-09-19 13:40:18
Naima Moukoueri,je me Sète application lo,5,2025-09-16 12:23:36
Paterne Eric Mavioka,Pas mal,5,2025-09-16 09:50:55
Logan Belli,Merci MTN pour nous faciliter la tâche,5,2025-09-15 20:02:10
Doum 99,impossible de se connecter sur les serveurs en côte d'ivoire...,1,2025-09-14 19:28:16
Janaï jodan Mbani,"comment faire la Mise a jour,car chez moi l'application est hors service",2,2025-09-09 00:17:18
Vanessa Nzola,trop nul,1,2025-09-08 21:30:28
exauce diabangouaya,cette application ne fonctionne pas,1,2025-09-04 19:25:49
Dany Dak,L'application est bonne et simple à utiliser une fois installée on vous donne 500 méga,5,2025-09-04 16:40:33
Vhady Nguie,"C'est vraiment regrettable, cette application n'est plus à jour depuis longtemps et après l'avoir installé, on me demande de télécharger une nouvelle version mais la nouvelle version n'est pas disponible.",1,2025-08-20 20:36:12
Razafindralay Jeudi Samuel,c'est très bonne,1,2025-08-19 16:43:13
Thomas Bakalas,"l'application ne fonctionne pas depuis un moment, suite une mise à jour",1,2025-08-14 20:49:16
Clarice saidi,My MTN is beautiful 😍 j'aime beaucoup,5,2025-08-11 18:28:10
Guerrna ç Koutatouka (“Triple-Sept”),L'application demande une mis a jour alors que y'a pas d'autres version ici !,1,2025-08-11 00:06:12
Patienté Yombi,bien,5,2025-08-08 19:22:38
LEI RYO,nul nul nul nul nul nul nul et nul 0/10😡😡😡😡 Etoile c'est juste parce qu'il faut mettre au moins une pour publier sinon je ne devais rien mettre.,1,2025-08-08 11:10:04
Moise Injili nzayaha,tres bonne application,5,2025-08-02 12:32:52
Jeffrey Mignon,pourquoi l'application ne se lance plus ?,1,2025-07-30 17:22:30
Viad'F John,"elle ne fonctionne plus, il y est écrit : nouvelle version MyMTN disponible cliquez sur télécharger pour mettre à jour. mais lorsque je clique sur ""télécharger"" rien ne se passe",1,2025-07-29 14:59:51
LORIS LOPEZ,application nulle. nous sommes au 21 ème siècle et cela ne marche pas,1,2025-07-28 01:37:15
Saint Kantsi,trop cool,5,2025-07-11 22:00:36
Clardy Bat,ça ne marche pas,1,2025-07-10 14:16:10
Cleyhmard et thersianie Kinzonzi et Loïc kinzonzi,Je l'installe pour exécuter la ce Zoro je me souviens dans le passé avec mon ancien phone ça marche mais la ce foutu rien ne marche au Congo 🇨🇬 Pointe-Noire précise bien sûr ailleurs je ne sais pas mais ici ce double zéro,1,2025-07-07 22:36:53
Elodie Kate,je ne parviens pas à me connecterq,1,2025-07-02 09:45:51
claude og,null cette application ne fonctionne pas dans mon téléphone,1,2025-07-01 22:56:33
Jordan Rachadol,"après l'installation de l'application un message apparaît veillez faire la mise à de l'application,",1,2025-07-01 03:19:50
DiNAH SOROMOU,ça ne prend pas,5,2025-06-30 12:51:23
Mehrlicht 498,mauvais,1,2025-06-28 00:00:28
Gloire Felder DIANZIINGA (Mwana Nzoko),"A mon humble avis, je pense que cette application n'est pas mal du tout. Dans la mesure où, elle facilite la tâche on nous permettons d'utiliser certains forfaits sans pourtant utiliser les codes. Mais, la chose que je peux reprocher au concepteur de cette application c'est qu'elle nous donne pas toutes les variétés essentielles dont disposent les services MTN comme faisait touna à une époque donnée. D'où, je lui attribue 3 étoiles.",3,2025-06-25 22:02:13
Mathieu MATONGO,L'application dit qu'il faut télécharger la nouvelle version mais elle est pourtant à jour.,1,2025-06-24 12:37:14
Manu Gola,zéro c'est horrible,1,2025-06-08 07:35:26
Divine Maria Kidiba,"votre application à peine téléchargée, demande de télécharger la nouvelle version et quand on essaie de le faire c'est sans suite, pure arnaque !! en réalité je ne devrais même pas mettre une étoile.",1,2025-05-25 22:22:48
SM ROMEO DAWA,J'ai de la peine à installer myMTN et en plus tout est en anglais. Je désemparé,4,2025-05-05 14:24:26
destin mboungou,merci pour l'application,5,2025-04-24 06:41:54
Issa musinguzi,"il semble que l'App ne fonctionne pas dans les Samsung galaxy, hein ??? car je l'ouvre et une notification s'affiche qui me dit y a une erreur au serveur et que je dois désactivé les wifi pour l'ouvrir alors que mon wifi est désactivé ils veulent que je désactive quoi d'autre ??",1,2025-04-08 11:10:05
olivia De souza,Je ne l'ai pas encore essayé mais je vois les avis,3,2025-02-19 22:02:51
Ngwasi Marie,bonne application mais pour le moment la connexion n'est bonne,5,2025-02-02 20:17:25
JOSEPH IRAGI,For sure I have loved the way the app is looking like.❤️❤️,4,2025-01-13 09:07:25
TIRIKWENDERA CHRISTMAS,Koʻsf,1,2024-09-30 06:52:55
Moïse abel Lama,Guidez-moi dans cette application.,4,2024-09-06 23:04:26
Pascal Munyambibi,Agent,2,2024-09-06 18:30:47
Mamadou Tahirou Diallo,Je ne suis pas content l'application s'ouvre même pas.,2,2024-08-24 11:14:18
Officiel ART,J'adore l'application,5,2024-07-10 14:44:55
Daniel Awono kolo,Pourquoi laisser qu'on télécharge pour ensuite découvrir que l'App n'est plus d'actualité et a été remplacée?,1,2024-05-07 12:17:42
Benjamin Hategekimana,Comment je peux utiliser cette application pour satisfaire mes besoins ?,5,2024-04-08 11:47:27
Jacqui Rabenandrasana,Telegram.contact sim.google.chrom.youtub.email.messanger.tout apps reel,1,2024-03-19 13:18:28
FADIL Ben OUMAR,Nul j'suis au Cameroun et j vois pas mon pays,1,2024-03-19 00:26:17
BG TEC,unable to connect to server. c'est le message que je revois à l'ouverture de l'application,1,2024-02-08 12:23:08
Pelagie Anka,Isco black,5,2024-01-26 19:49:08
Shukuru Durrbal,Is use ful mbs,5,2024-01-16 20:38:23
Emmanuel Balogog,Nul cette application. MyOrange est 100000000 fois plus mieux que vous les bêtises,1,2023-12-29 19:58:53
Ouzer JR,Il y a pas le Cameroun pour vous y êtes à crier,1,2023-12-27 10:46:07
Golden Kinouani,Ok,2,2023-12-05 05:42:20
Frank Mfekouht,J'e ne voir par Cameroun dans selection pays,1,2023-11-23 09:54:18
Jorese Gbedemakou,Par mal,4,2023-11-05 11:49:07
Moda Djerabe,Très cool,5,2023-10-12 21:25:09
Come-Riche Assogbenou,L'application ne marche pas sa écrit impossible de se connecter au serveur faites quelque chose svp,1,2023-10-12 15:54:54
Guylain Guerzoni Bassingana (zoni),N'importe quoi vous vous foutez qui même ?,1,2023-10-03 17:42:37
Teikeng Marc,J'ai pas pu me connecter car mon pays le Cameroun ne figure pas sur la liste des pays,1,2023-09-26 14:33:57
Amadou Soniane,Je vous mets 3/5 car l'application n'est pas disponible au Sénégal 🇸🇳.,3,2023-09-22 14:06:32
Pascal Le phénix,Le cameroun ne figure plus parmi ? Comment faire maintenant ??,1,2023-09-19 21:22:18
Herve Durand Ndi,Quand une application n'est plus disponible pour un pays il faut le notifier aux utilisateurs,1,2023-09-17 20:48:05
Gring Bachir,Le fait d'enlever le Cameroun n'ait pas une bonne idée sa devient de plus en plus nulle cette application sa ne sert maintenant à rien...👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2023-09-16 11:20:24
Williams Legran,Disparition du Cameroun avec (la dotation du 1Go bonus) de la liste des pays. Son interface qui est différent que celle de la publicité. Bien vouloir y intégrer les fonctionnalités Mobile Money que de créer une autre application et pourtant celle-ci peut faire tout le travail...,1,2023-09-15 22:54:29
Daklin Johan (Joresno),J'ai un souci avec mymtn Depuis le matin je parvient pas à créer de compte parce que il ya plus camerounais sur la première page,5,2023-09-15 13:52:45
Faryda Aicha,Pourquoi il ya plus Cameroun dans mymtn,1,2023-09-15 13:51:38
Daniel Ndjana Bela,"Depuis 2mois mon application mymtn ne me reconnais plus:plus de contenu à afficher, fréquemment mentionné Alerte,je ne comprends rien à ce qui se passe,mes appels aux services clients se soldent par une étude de mon problème qui demeure une intention,que faire ?",1,2023-09-07 10:39:35
Sadiki jean Ntiba,Okay,5,2023-08-31 23:21:59
Mohamadou Bach,Parfaite application 👌👌👌,5,2023-08-25 10:11:30
RÉMI Agbla,Bien,1,2023-08-20 00:49:39
Beno Ben,C'était si génial que j'ai pas les mots pour exprimer,4,2023-08-13 12:50:54
Toni Blēū,Trop cool 👻 1 gigas offert,5,2023-08-05 22:19:51
Dimitrypaul,Very bad as app You must adapted this for any phone This app is not working normally At beginning it give but later this We ask you the code pin . When you put the code pin after they tell you that there are a error,1,2023-07-14 11:26:04
Gädį Fîls,Je,5,2023-07-09 00:33:31
Amati Stanley,certains comment une application agréable à utiliser,3,2023-06-29 07:46:24
Jean Richard Kouassi,Trop trop trop trop trop nul 😫😫😫😫😫😫😫😫,1,2023-06-28 15:16:22
emmanuel ouattara (“alexander mahone”),ça ne passe pas on me demande télécharger la nouvelle mise à jour alors que je viens de le télécharger,1,2023-06-27 16:57:45
Kinan Coulibaly,"Non mais attendez, après avoir téléchargé l'apply elle nous met un message de mise à jour, cependant aucune n'est trouvée, quand vous voulez percer dans le réseau, fait le bien!!",1,2023-06-27 14:45:05
Dro Felicien,"Je n'arrive pas à utiliser l'application, après installation, il met demandé de mettre l'application à jour alors que je viens tour juste de le télécharger. Et quand je fais la mise à jour sur le Google Play sa ne passe pas",1,2023-06-24 20:03:19
Ismael O',Un. Vrais désastre ! Ne mérite même pas une 🔯,1,2023-06-24 01:35:30
Kouakou Charles,"Une fois installée l'application n'arrive pas à s'exécuter. Un message s'affiche après avoir tourné sans suite. Le message d'erreur et le suivant: ""impossible de se connecter au serveur"" et pourtant cette application fonctionnait correctement au paravant. L'application MoMo continue quant à elle de bien fonctionner. Que dois faire ?",1,2023-06-23 13:37:44
STEVEN VUNABANDI,Please help me reinstall mtn app,5,2023-06-23 13:34:18
Louis Kouassi,MTN voleur,1,2023-06-22 13:48:29
Hélène GBODAMAKOU,Super,5,2023-06-21 14:51:42
ALHADJI ABOUBAKAR,Bonjour ou bonsoir je vous remercie,5,2023-06-19 15:35:22
Daoud Moussa,😂🤣🤣😂😂🥰,5,2023-06-18 19:49:51
Ohouo Gualbert Kanon,"Ça ne marche pas. Dès l'installation, on me demande une mise à jour qui ne peut être téléchargée !...",1,2023-06-14 10:53:30
Perside Nguessan,Nul,1,2023-06-14 00:53:22
Salomon danh,"Nul pack YouTube ne passe plus connexion nuit est devenus très très chers, vous pensez a quoi même je comprends pourquoi beaucoup laisse ce réseau au détriment de moov. Moov est mieux sérieux puff j'ai beaucoup aimé mtn mais c'est devenu nul",1,2023-06-12 15:39:32
Boniface Noukotom,C'est fiable avec m'y mtn,4,2023-06-12 12:56:07
Ali Diaby,Revoyez votre application. Elle ne marche plus.,1,2023-06-09 17:42:07
Giresse Zobo bidzanga,Franchement je sais pas pourquoi vous payez des individus pour mettre sur pied des applications et vous vous foutez des de nous retirer cette application de Google play elle ne sert a rien depuis un moment même 1 étoiles elle mérite pas,1,2023-06-09 13:41:55
Kassi Noel KOFFI,l'App la plus nulle du monde 🤣🤣🤣🤣,1,2023-06-08 22:55:00
Thierry Mathurin,IS good,5,2023-06-07 22:13:31
MACHING BENJAMIN,Cette application est super pour le VANDEUR de puces !!!!,3,2023-06-07 19:54:41
Djuikem Lopez,Trop fantastique,5,2023-06-07 07:54:06
Jonas Zounnon,Boùuuuuuuuuu,1,2023-06-06 01:03:45
Arnaud Jean-Charles Antoine TANOE,Extraordinairement nul!,1,2023-06-03 12:24:54
Habib dieudonne Habib,J'ai téléchargé je lance et depuis rien Je supprime c'est mieux,1,2023-05-30 19:52:38
Aimso La legende,Cool,5,2023-05-30 02:58:19
Alaino Versace,Le gros cue,5,2023-05-29 11:52:07
Arsene NKURU,Yes apk,5,2023-05-28 11:51:36
Yaya Salomon Traoré,Très bonne application,5,2023-05-27 00:22:38
Benoit Kangah Kouadio,Application inutile,1,2023-05-26 14:06:28
tchimou desire,"Faut pas qu'on va se mentir, l'app ne marche pas mes frere",5,2023-05-25 20:26:14
Sedina oumar Oumar,Très très efficace,5,2023-05-24 17:06:54
